;setor;media
0;dip;17.16333333333333
1;aerodinamica;23.633333333333336
2;desempenho;22.76
3;estabilidade;22.746666666666666
4;cargas;20.073333333333334
5;estruturas;16.73
6;pel;21.136666666666667
7;dip_plantas;9.446666666666667
8;estruturas_plantas;8.81
