numero;equipe;escola;uf;dip;dip_plantas;aerodinamica;desempenho;estabilidade;cargas;estruturas;estruturas_plantas;pel;subtotal_rela;penalidades;total_rela;apresentacao;penalidades;total_apresentacao;total_geral
35;Equipe Enterprise;Universidade do Vale do Paraíba - UNIVAP;SP;9.64;4.96;7.22;13.23;4.88;12.22;7.92;5.36;6.81;72.24;0;72.24;15;0;15;87.24
28;FAM AeroDesign;IFES campus São Mateus;SP;7.73;1.57;10.85;14.82;9.96;10.87;9.18;2.42;9.78;77.18;-6.25;70.93;15;0;15;85.93
16;Acceptor Aerodesign;universidade federal rural do semi arido;RN;5.81;2.84;11.9;13.8;7.17;10.91;6.52;3.57;7.42;69.93;-2.29;67.63;15;0;15;82.63
36;Aerodactyl;Universidade Federal de Goiás;GO;6.58;3.21;8.9;8.33;6.31;10.92;6.49;2.5;12.55;65.79;-0.15;65.64;15;0;15;80.64
59;Aerocária;PUCPR;PR;3.78;3.79;10.75;13.62;9.44;12.09;7.66;4;6.85;71.97;-1.36;70.61;0;0;0;70.61
23;AeroTau AeroDesign;Universidade de Taubaté;SP;6.57;1.53;12.55;11.8;13.41;9.12;12.11;3.17;6.02;76.28;-8.96;67.32;0;0;0;67.32
29;MasBáh Aerodesign;Faculdade Horizontina;RS;5.04;1.87;9.13;8.36;6.24;9.13;6.67;4.6;4.57;55.61;-10;45.61;15;0;15;60.61
62;Prometheus Aerodesign;Senai CIMATEC;BA;3.24;5.11;7.61;6.48;7.43;6.54;10.04;4.28;5.67;56.4;0;56.4;0;0;0;56.4
53;Aerosul;Universidade de Caxias do Sul;RS;10.09;5.27;7.97;6.94;14.88;12.83;7.23;6.29;10.91;82.41;-45.33;37.08;15;0;15;52.08
42;Ximango Aerodesign;PUCRS;RS;6.87;5.9;8.17;8.57;7.03;8.61;3.04;3.91;9.29;61.39;-11.66;49.73;0;0;0;49.73
37;Gralha Azul Aerodesign;Instituto Federal de Santa Catarina - IFSC;SC;6.73;4.57;9.81;5.75;10.89;9.69;7.3;5.51;9.76;70;-36.25;33.75;15;0;15;48.75
60;Equipe IFly AERODESIGN;IFSEMG - Campus Juiz de Fora;MG;1.39;2.39;9.33;13.34;10.83;11.43;3.97;2.82;9.91;65.41;-37.43;27.98;15;0;15;42.98
30;Zebra;FEIS - Unesp;SP;6.45;1.14;11.44;11.14;3.11;11.82;8.53;2.14;7.59;63.36;-35.68;27.68;15;0;15;42.68
32;Aurora Aerodesign;Universidade Positivo;PR;7.89;2.19;8.77;10.17;4.24;9.12;3.7;3.13;2.44;51.65;-24.58;27.07;15;0;15;42.07
13;AEROUNISAL;UNISAL;SP;8.18;6.12;12.05;14.61;3.79;9.14;5.86;5.38;9.86;75;-40.44;34.56;0;0;0;34.56
64;Go Fly;Faculdade Anhanguera de Anápolis;GO;0;3.53;5.18;5.99;2.09;4.79;2.06;3.15;3.75;30.53;-17.5;13.03;15;0;15;28.03
38;Caboclo Aerodesign;Universidade Federal Rural de Pernambuco;RE;1.66;2.02;8.94;5.35;4.54;10.8;3.52;3.03;3.52;43.37;-30.42;12.95;0;0;0;12.95
31;Equipe Hércules;Centro Universitário Anhanguera;MS;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0
